name,1986-06-30,1987-06-30,1988-06-30,1989-06-30,1990-06-30,1991-06-30,1992-06-30,1993-06-30,1994-06-30,1995-06-30,1996-06-30,1997-06-30,1998-06-30,1999-06-30,2000-06-30,2001-06-30,2002-06-30,2003-06-30,2004-06-30,2005-06-30,2006-06-30,2007-06-30,2008-06-30,2009-06-30,2010-06-30,2011-06-30,2012-06-30,2013-06-30,2014-06-30,2015-06-30,2016-06-30,2017-06-30,2018-06-30,2019-06-30,2020-06-30,2021-06-30,2022-06-30,2023-06-30,2024-06-30,2025-06-30,2026-06-30
Non Current Deferred Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,1407000000,2854000000,3299000000,3469000000,4736000000,4930000000,7917000000,10908000000,541000000,233000000,204000000,198000000,230000000,,,,
Other Non Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,7445000000,8072000000,8208000000,10000000000,11594000000,13544000000,13640000000,17184000000,44859000000,47911000000,50915000000,13427000000,15526000000,17981000000,27064000000,45186000000,65117000000
Total Equity Gross Minority Interest,139300000,239100000,375500000,561800000,918600000,1350800000,2193000000,3242000000,4450000000,5333000000,6908000000,10777000000,16627000000,28438000000,41368000000,47289000000,52180000000,61020000000,74825000000,48115000000,40104000000,31097000000,36286000000,39558000000,46175000000,57083000000,66363000000,78944000000,89784000000,80083000000,71997000000,72394000000,82718000000,102330000000,118304000000,141988000000,166542000000,206223000000,268477000000,343479000000,442387000000
Stockholders' Equity,139300000,239100000,375500000,561800000,918600000,1350800000,2193000000,3242000000,4450000000,5333000000,6908000000,10777000000,16627000000,28438000000,41368000000,47289000000,52180000000,61020000000,74825000000,48115000000,40104000000,31097000000,36286000000,39558000000,46175000000,57083000000,66363000000,78944000000,89784000000,80083000000,71997000000,72394000000,82718000000,102330000000,118304000000,141988000000,166542000000,206223000000,268477000000,343479000000,442387000000
Capital Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78520000000,80552000000,83111000000,86939000000,93718000000,100923000000,109095000000,117406000000
Preferred Stock,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
Common Stock,,,,,,,,,,,,-980000000,-980000000,13844000000,23195000000,28390000000,31647000000,35344000000,56396000000,60413000000,59005000000,60557000000,62849000000,62382000000,62856000000,63415000000,65797000000,67306000000,68366000000,68465000000,68178000000,69315000000,71223000000,78520000000,80552000000,83111000000,86939000000,93718000000,100923000000,109095000000,117406000000
Additional Paid in Capital,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
Other Equity Adjustments,61100000,96600000,120600000,156000000,303600000,513000000,867500000,1400000000,2015000000,2720000000,3944000000,5821000000,9572000000,1905000000,2411000000,2966000000,3623000000,3855000000,4163000000,,,,,-969000000,8629000000,-1863000000,-1422000000,1743000000,3708000000,2522000000,1537000000,431000000,-2187000000,-340000000,3186000000,1822000000,-4678000000,-6343000000,-2965000000,-2296000000,
Capital Lease Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5568000000,6188000000,7671000000,9629000000,11489000000,12728000000,15497000000,17437000000,16532000000
Net Tangible Assets,,,,,,,,,,,,,,,,,,,,,,,,,32623000000,43758000000,49741000000,61206000000,62676000000,58309000000,50392000000,27166000000,38982000000,52554000000,67915000000,84477000000,87720000000,128971000000,,,
Invested Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158588000000,158958000000,174508000000,181631000000,200134000000,216323000000,253460000000,320107000000,386630000000,482681000000
Tangible Book Value,,,,,,,,,,,,,,,,,,,,,,,,,32623000000,43758000000,49741000000,61206000000,62676000000,58309000000,50392000000,27166000000,38982000000,52554000000,67915000000,84477000000,87720000000,128971000000,,,
Net Debt,-100800000,-125400000,-162900000,-167000000,-239800000,-397700000,-783100000,-1013000000,-1477000000,-1962000000,-2601000000,-3706000000,-3839000000,-4975000000,-4846000000,-3922000000,-3016000000,-6438000000,-14304000000,-4851000000,-6714000000,-6111000000,-10339000000,-320000000,434000000,7674000000,5006000000,11796000000,13976000000,29697000000,47177000000,78531000000,69862000000,67010000000,57422000000,53551000000,47339000000,25261000000,48812000000,30346000000,107873300000
Share Issued,7342400000,7190000000,6195000000,6820000000,7977142857,8412727273,8851250000,9530000000,9760000000,10032000000,10209302326,10421212121,10724000000,10964000000,11067058824,11148000000,11106000000,10882000000,10894000000,10906000000,10531000000,9886000000,9470000000,8996000000,8927000000,8593000000,8506000000,8470000000,8399000000,8254000000,8013000000,7832000000,7794000000,7753000000,7683000000,7608000000,7540000000,7472000000,7469000000,7465000000,7453000000
Non Current Pension And Other Post-Retirement Benefit Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
