Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),139.47,158.07,272.59,324.97,354.43,477.94,619.11,741.91,789.79,711.37,838.34,1191.31,1185.44,2096.39,2466.18,2585.61,3202,3391.5
Market cap = price×shares,8908.64625,8850.65544,13439.77736,14169.66691,14044.28875,17483.52314,20976.68502,23893.95346,24079.11752,20675.96905,22990.63616,30376.02238,28560.80592,47795.59561,51131.30994,49392.90783,57005.206,58486.4175
Book/market = repCSE/mktcap,0.0257824806995788,-0.0489312913530391,-0.0549685445086867,-0.0885152775973052,-0.110224520981883,-0.0965090952486365,-0.0773171260594159,-0.0712058807199167,-0.0742360262378918,-0.0690839203979172,-0.0661293141007195,-0.0564211791313541,-0.0307406241427238,-0.0376088210024087,-0.0692122498749345,-0.0880671778825296,-0.0833189516059288,-0.0583778789323179
Premium fraction = 1−book/mkt,0.974217519300421,1.04893129135304,1.05496854450869,1.08851527759731,1.11022452098188,1.09650909524864,1.07731712605942,1.07120588071992,1.07423602623789,1.06908392039792,1.06612931410072,1.05642117913135,1.03074062414272,1.03760882100241,1.06921224987493,1.08806717788253,1.08331895160593,1.05837787893232
Buyback $ (nominal),849.196,1300.002,1123.655,1466.802,1362.869,1387.315,1099.212,1271.416,1452.462,1071.649,1592.013,2004.896,930.903,3378.321,4359.991,3699.552,3140.917,1578.186
Annual premium reserve (real),1287.70988315755,2130.0661635976,1821.83354048224,2378.73190356474,2208.55708486067,2188.34499807468,1676.35098745957,1925.68549434969,2178.6367176553,1566.35373790131,2265.17578431453,2776.35818919303,1242.43972067454,4335.28438787654,5338.23643694501,4427.24724248328,3635.11158183338,1738.6981381028
Cumulative premium reserve,1287.70988315755,3417.77604675515,5239.60958723739,7618.34149080213,9826.89857566279,12015.2435737375,13691.594561197,15617.2800555467,17795.916773202,19362.2705111033,21627.4462954179,24403.8044846109,25646.2442052854,29981.528593162,35319.765030107,39747.0122725902,43382.1238544236,45120.8219925264
