Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Active OI-after-tax,17217.683944007,18130.0662989641,17762.5107255779,16516.6712087365,16607.5018168863,21533.3126976496,21059.2315327909,17932.4289576948,21558.5776568636,1835.77399464064,28860.4709508127,28824.2994681697,27846.0030027585,29050.3770632839,23816.803382404,25067.6381806912,23157.5151613162,24974.6427169208
Active NI,16699.7813672918,17581.5837029911,17212.3174809628,15851.0329380568,16014.8060588116,20913.4284527564,20460.2955272132,17305.9198934116,20711.8934236094,1741.84316029404,27720.5634862068,28460.5954811517,27613.8664856161,28840.3016581605,23549.5499016273,23854.2143524883,22477.6161053079,24143.10942632
Active RNOA,0.208073470340828,0.235718173579855,0.203931403414995,0.199173473846338,0.154589030282572,0.196918117925186,0.207622378386595,0.209776173015716,0.182308359365324,0.0123952214183182,0.206370021871185,0.21373293014709,0.227318141705485,0.2126752027893,0.165830174521952,0.199022564543164,0.173340526464052,0.164881381188876
REAL IS LINES (real 2026$; forecast build-up base),,,,,,,,,,,,,,,,,,
Real revenue,99223.3544400217,96687.7896633215,94651.0080025315,96884.2605773121,98122.3749401117,102586.706456556,105222.812385949,99079.0074214086,100380.374197419,104520.86059889,108876.572389459,107565.442201856,106934.395493236,97381.9427242868,91597.576566264,93661.1494410933,94890.034342932,98049.1600656017
Real COGS,28812.7051318375,28815.6074756336,28880.79858385,30333.1315601119,31612.7334947777,32140.3437801826,32199.1913270479,30450.1741562842,30424.0919931502,34779.6752488577,36155.1736630202,36121.2459975671,36808.874124361,28942.497125143,28165.1955647435,29408.5824740238,29348.0610827922,26684.4693159969
Real gross profit,70410.6493081843,67872.1821876879,65770.2094186814,66551.1290172002,66509.6414453339,70446.3626763738,73023.6210589011,68628.8332651244,69956.282204269,69741.1853500326,72721.3987264393,71444.1962042893,70125.5213688754,68439.4455991438,63432.3810015206,64252.5669670695,65541.9732601398,71364.6907496048
Real SG&A,45243.3093872357,30930.6577560048,29852.0983233665,31240.4437958735,30461.0829856181,31403.8002292269,31078.0377382401,29979.3389039605,28019.6545975742,29421.6994125326,30081.4888473838,29071.5994242286,28595.6019334572,24880.9997933351,23183.9546838428,23109.8072083544,23470.1159014183,24645.2699639377
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),59.83,64.41,61.85,65.58,70.1,91.59,104.57,102.72,115.21,139.72,129.05,145.87,157.38,171.07,176.65,156.74,144.62,206.95
Market cap = price×shares,169653.948,179645.931,172487.28,182004.174,197163.26,263504.43,299478.023,288941.088,321309.169,383573.316,352138.735,391558.841,420314.766,457441.18,470577.935,401317.096,351339.828,502764.33
Book/market = repCSE/mktcap,0.250574775896167,0.281598362503407,0.328018390689447,0.313619181063397,0.328793508486317,0.281031328391709,0.232911915543132,0.246243967905319,0.219159634376945,0.156840941459025,0.169683122193303,0.15188266429668,0.150549076831624,0.161819711990075,0.163212072406242,0.171370720772882,0.203478211983413,0.162191299450381
Premium fraction = 1−book/mkt,0.749425224103833,0.718401637496593,0.671981609310553,0.686380818936603,0.671206491513683,0.718968671608291,0.767088084456869,0.753756032094681,0.780840365623055,0.843159058540975,0.830316877806697,0.84811733570332,0.849450923168376,0.838180288009925,0.836787927593758,0.828629279227118,0.796521788016587,0.837808700549619
Buyback $ (nominal),6651,2130,2797,2525,12919,3538,7124,5290,8979,6358,5868,6746,3221,3456,6035,5054,2432,5953
Annual premium reserve (real),7758.35071963116,2390.28094212514,2888.59096067512,2582.05801546571,12656.9407490811,3659.28525488821,7735.8684760572,5637.82006655215,9789.72639862768,7329.1822479168,6502.48541412961,7499.78518199591,3542.83169917848,3582.5660059366,5782.83721370584,4606.00539914093,2069.50355120662,5191.65706216159
