Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Book/market = repCSE/mktcap,0.394126769742653,0.384626258530289,0.336267862762977,0.325093654004804,0.28495160265773,0.206619379833852,0.199530473626394,0.148492347420232,0.170968070526994,0.131331405606657,0.145579176913786,0.119707556994645,0.109319402025564,0.0696278939542375,0.101668917544033,0.0854131946851801,0.057965348691614,0.0760327765674307
Premium fraction = 1−book/mkt,0.605873230257347,0.615373741469711,0.663732137237023,0.674906345995197,0.715048397342271,0.793380620166148,0.800469526373606,0.851507652579768,0.829031929473006,0.868668594393343,0.854420823086214,0.880292443005355,0.890680597974436,0.930372106045763,0.898331082455967,0.91458680531482,0.942034651308386,0.923967223432569
Buyback $ (nominal),895.307,69,551,624,632,36,334,481,486,469,328,247,196,496,439,676,700,903
Annual premium reserve (real),844.321596667055,66.3269585713244,562.057359898525,627.433317382507,659.623647340616,41.0877688525773,378.469773059548,579.106407328127,562.584617566072,556.996479656148,374.016776889532,285.016809088697,226.047426851476,570.717752083292,451.595113101933,679.986918350659,704.481938848012,868.499482951979
Cumulative premium reserve,844.321596667055,910.648555238379,1472.7059151369,2100.13923251941,2759.76287986003,2800.8506487126,3179.32042177215,3758.42682910028,4321.01144666635,4878.0079263225,5252.02470321203,5537.04151230073,5763.0889391522,6333.8066912355,6785.40180433743,7465.38872268809,8169.8706615361,9038.37014448808
Economic CSE (real),10244.4884280029,11132.0587498167,11925.3844259014,12429.2214867776,12748.6596117205,10444.9633452083,12527.4390012751,10386.2793660593,11778.7274127645,9848.29370406361,12824.1245571283,16202.2627391306,16212.9293126769,15453.4803489878,20497.8115841633,25527.4697584072,23921.7385855221,29543.1391514703
Adjusted base = CSE+reserve,11088.8100246699,12042.7073050551,13398.0903410383,14529.360719297,15508.4224915805,13245.8139939209,15706.7594230473,14144.7061951596,16099.7388594309,14726.3016303861,18076.1492603403,21739.3042514313,21976.0182518291,21787.2870402233,27283.2133885007,32992.8584810953,32091.6092470582,38581.5092959584
Economic CI (real),1590.74147749452,1074.21005331157,1341.2297970766,1965.96011424449,1846.66846629188,1717.21924324794,1748.43993670524,603.209019078984,513.532529013108,971.147109005625,2452.79001299012,2686.7854165588,3422.97606924126,4604.24705108758,4201.0669114224,4140.56901708145,4985.14489034743,5634.45248345073
ROE unadjusted,,0.100503607469983,0.116338120133724,0.161444625406237,0.146689743991368,0.148076843918422,0.152220904921848,0.05265046985468,0.0463372318481519,0.089808679961936,0.216367745578206,0.185127097570637,0.211195791391301,0.290796910687445,0.233708814650333,0.179925853630869,0.201626883717722,0.21077210766919
ROE ADJUSTED (premium),,0.0928784772740495,0.105439288164973,0.14079051539628,0.122956374864784,0.119441129595898,0.120779587467036,0.0404140303725039,0.0339587999109387,0.0630082289891517,0.149549191989404,0.134961939628011,0.156603034049947,0.210415873314931,0.171225761902492,0.137386823283353,0.153190002603064,0.159451078418768
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0548806713262307,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947974521841193,0.898655694060038,0.85190270187643,0.807582056466529,0.765567213826385,0.725738213464362,0.68798133589076,0.652188777926708,0.618258344905263,0.586093158885894,0.55560138204925,0.526695954482443,0.499294345606185,0.473318318534034,0.448693706690979,0.425350202053533,0.403221154406753
RI without = CI − r·CSE(prior),,511.985650988973,730.294939643621,1311.48701112765,1164.54444703512,1017.56424524711,1175.21333634234,-84.3052433094005,-56.4734551780032,324.722641224432,1912.30904309322,1982.9888516924,2533.7850131138,3714.47060624314,3352.96953554324,3015.63535662398,3584.18021274599,4321.61141058668
RI with = (CI+Δres) − r·adjbase(prior),,531.975673519975,1242.3752954884,1858.09723922133,1708.91104341652,907.194374551761,1399.97054551603,320.317924910675,299.846174876529,644.579111879203,2018.6174702515,1979.77101924688,2455.955884609,3968.90616843299,3456.9610853796,3323.23486873438,3878.95660678161,4741.74290698508
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,14888.1755964773,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,14888.1755964773,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
