Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Real gross profit,13447.0705080747,13733.4557274503,14811.2452209524,15921.3184543365,15787.8294071274,15684.205806651,14801.0676496181,13841.1424986393,14248.8747332369,14520.5383420366,14456.9980518265,14654.2987917405,12627.5660937905,15558.6019286268,15123.5053595531,16018.0483620062,15715.1169789186,16066.8922914926
Real SG&A,3666.37820420524,3489.98917016645,3585.97101616099,3566.22873356777,3583.69116614546,3431.83260773447,3521.86617878143,3441.90466886342,3329.48952947206,3050.58726297324,2936.34834791543,2922.36557653418,2906.95192630916,2940.75163080784,2853.85023525995,2666.66850168361,2480.6595258361,2688.74524061713
BUYBACK / REPURCHASE-PREMIUM ROE ADJUSTMENT  (JK-original · premium-only),,,,,,,,,,,,,,,,,,
Additive capital-efficiency view only; never enters AEG value (Penman Ch.5/6). RNOA untouched. Reserve raises the economic-CSE base so ROE falls; cfg_buyback {On|Off}. VP6 proves value-invariance.,,,,,,,,,,,,,,,,,,
cfg_buyback active (1=On),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Year-end price (contemp.),62.19,62.44,76.76,100.33,88.21,97.03,93.7,118.14,121.72,172.12,177.57,197.61,214.58,268.07,263.53,296.51,289.89,305.63
Market cap = price×shares,71269.74,69146.056,82923.828,104834.817,89991.842,97612.18,92416.31,111595.044,104825.264,140363.86,139498.992,151151.889,160956.458,201535.026,195354.789,217134.273,209271.591,218953.332
Book/market = repCSE/mktcap,0.187773941647605,0.202960238252779,0.176477622330701,0.137265465918637,0.16994429339495,0.164013343416774,0.139081510612142,0.0635144693343192,-0.021028327674901,-0.0232823463247591,-0.0448634066115689,-0.0543182096784778,-0.0486150111479218,-0.0228297784822773,-0.0307307541869373,-0.0216732252121249,-0.0181391080454872,-0.00817982527893204
Premium fraction = 1−book/mkt,0.812226058352395,0.797039761747221,0.823522377669299,0.862734534081364,0.83005570660505,0.835986656583226,0.860918489387858,0.936485530665681,1.0210283276749,1.02328234632476,1.04486340661157,1.05431820967848,1.04861501114792,1.02282977848228,1.03073075418694,1.02167322521212,1.01813910804549,1.00817982527893
Buyback $ (nominal),3919.3,2797.4,2698.5,3363.1,2615.1,1777.8,3198.6,6099.2,11171,4685.7,5207.7,4976.2,907.8,845.5,3896,3054.3,2824,2056
