Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Market cap = price×shares,633544.0353,627260.9931,657957.6,711092.0178,800041.23,845833.1049,596386.7271,667077.12,921930.9336,841144.5,1049950.5165,1240266.6,1235797.29,1193162.0085,1293045.3,732648.15,900304.21,0
Book/market = repCSE/mktcap,0.103047296418923,0.1127903707998,0.104173885976847,0.100289411517565,0.0960725486610234,0.0919164780257586,0.136478557119787,0.120744659927776,0.0843859308378022,0.092575056961081,0.0690470635146357,0.0602039916256714,0.0654840406714276,0.0697751012912845,0.0594952087138788,0.123621413634908,0.101091385544004,
Premium fraction = 1−book/mkt,0.896952703581077,0.8872096292002,0.895826114023153,0.899710588482435,0.903927451338977,0.908083521974242,0.863521442880213,0.879255340072224,0.915614069162198,0.907424943038919,0.930952936485364,0.939796008374329,0.934515959328573,0.930224898708716,0.940504791286121,0.876378586365092,0.898908614455996,0
Buyback $ (nominal),3521,7276,14776,6298,7600,6683,1015,4112,8298,8296,7410,5717,2625,9787,9920,2779,4494,8088
Annual premium reserve (real),4933.30083941805,9920.99272330755,19720.5978009564,8270.83179570941,9882.700594919,8590.87076845666,1239.26420868495,5048.33826640544,10387.5080900836,10046.7332586002,9042.58252392598,6957.02065350158,3033.88457605983,10425.2345549884,10261.2818055942,2601.86793848249,4205.07609266517,0
Cumulative premium reserve,4933.30083941805,14854.2935627256,34574.891363682,42845.7231593914,52728.4237543104,61319.294522767,62558.558731452,67606.8969978574,77994.4050879411,88041.1383465413,97083.7208704672,104040.741523969,107074.626100029,117499.860655017,127761.142460611,130363.010399094,134568.086491759,134568.086491759
Economic CSE (real),70060.6182355558,74237.9388415034,69185.3123476467,73149.3377361576,79616.6883276084,83454.9006844225,92113.0216152532,92106.4963873733,91288.0106851593,89258.7591282363,85135.5955081582,66113.8613375855,95248.7748284785,96897.4865825949,86957.7130372466,97511.8549433697,98552.0042259283,75890.1883735415
Adjusted base = CSE+reserve,74993.9190749738,89092.2324042289,103760.203711329,115995.060895549,132345.112081919,144774.19520719,154671.580346705,159713.393385231,169282.4157731,177299.897474778,182219.316378625,170154.602861554,202323.400928507,214397.347237612,214718.855497858,227874.865342463,233120.090717687,210458.2748653
Economic CI (real),10228.3630198383,15344.6466154361,16747.173839673,13562.2553569747,15678.9609536816,10079.9489397579,4021.81891786925,-5363.30626233472,-10479.4857603592,2398.25013959791,-42.6765764199117,241.356405808765,1438.3291558338,8111.20363573556,-1894.08403967351,5118.9085213682,5308.0158569611,7440.99898180983
ROE unadjusted,,0.212679141444798,0.233534991025777,0.19056856990184,0.205267641735173,0.123626058969895,0.0458149628381936,-0.0582273400830226,-0.114283529290379,0.026566525029239,-0.000489426122868378,0.00319150112459471,0.0178272887702896,0.0844273895954981,-0.0206040845577381,0.0554986773960037,0.0541457857603192,0.085311917614964
ROE ADJUSTED (premium),,0.187031586481945,0.173678634058198,0.123430538797206,0.126270033282969,0.0727480812388281,0.0268617509158709,-0.0341193549975948,-0.0637058921034209,0.013839426006039,-0.000237409155202,0.00136988802309319,0.00772302869537757,0.0389287246744055,-0.00882783743703627,0.023131410502839,0.0230285203218949,0.0335498732992997
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0551446658759795,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947737340992765,0.898206067512036,0.851263430087425,0.806774139715436,0.764609977955633,0.724649427404208,0.686777321479993,0.650884512513582,0.616867557182994,0.584628418389313,0.554074182713093,0.525116792637246,0.497672792764673,0.471663089299234,0.447012722096889,0.423650648630043,0.401509539242497
RI without = CI − r·CSE(prior),,11481.1772317718,12653.3475069369,9747.05442403844,11645.165165172,5689.51326377995,-580.273696086283,-10442.8480621347,-15558.667728648,-2635.79670811804,-4964.82102505104,-4453.41756264116,-2207.49763739819,2858.74177272271,-7237.46356149292,323.654490589926,-69.2428028379982,2006.38163736289
RI with = (CI+Δres) − r·adjbase(prior),,21130.1247286239,31554.810252553,16111.2653877993,19165.1526722517,11372.6927221381,-2722.4414956101,-8844.28061465805,-8899.31938442294,3109.96114171184,-777.237658585958,-2850.04625853836,-4910.90499016676,7379.38184762958,-3455.67231219375,-4119.82308385141,-3052.99136121769,-5414.33052979507
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,56934.4903215778,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,56934.4903215779,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
