Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ROE unadjusted,,0.301719066566847,0.352757218285215,0.401898211995001,0.416983688739809,0.281529939717139,0.309077673988393,0.398455723129413,0.301750939249998,0.32751805836107,0.401695336144223,0.449793668314665,0.529422317038534,0.938476354504065,0.864980993812114,0.797737357504052,0.77838318862855,0.896294332129967
ROE ADJUSTED (premium),,0.297399182412779,0.343257899655947,0.389716762138089,0.405526805909922,0.251951443842061,0.223200508298975,0.236179120966625,0.163299983831338,0.163796076537795,0.16431665819948,0.140056561920279,0.127569680958984,0.176698122994036,0.133472190058758,0.109360554147079,0.0987875783535766,0.106825278735225
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0438581693419681,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.957984551321167,0.917734400570017,0.879175377962068,0.842236429989609,0.806849488489937,0.772949345214745,0.740473531669537,0.709362204001642,0.679558032724707,0.651006097076473,0.623653783815149,0.597450690267904,0.572348531452819,0.548301051103158,0.525263936429983,0.503194736466067,0.482052783840618
RI without = CI − r·CSE(prior),,10189.3043243697,18786.2633301815,34531.2923308018,54495.2978052932,42366.0804856396,46173.8655583144,63201.2583647494,50575.2883245649,58591.4288721785,67163.591992802,66708.482212308,69166.9127940267,114121.668961745,97339.2680900428,89367.5767818333,89021.0922963032,107800.639905064
RI with = (CI+Δres) − r·adjbase(prior),,10918.5000716559,20138.0154796283,35658.0386447963,55303.747536903,74726.9141848926,105369.991569035,106425.010398986,83558.8209626494,92878.0805899952,151971.679071957,138374.410894883,141962.467397918,195776.784004104,171016.665980393,141914.225999474,154405.921995444,161581.913495415
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,653014.557244105,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,653014.557244105,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
