ticker,tier,n_all,n_fit,shortest,longest,longest_fit,span,a_pp,b_pp,t_b,r2,b_sqrt_pp
GE,2,2,2,16.14,17.561,17.561,1.421,4.080124,-1.225382,,,
GILD,1,8,8,0.531,20.531,20.531,20.0,0.390677,0.100604,6.469,0.8746,0.095638
GIS,1,5,5,1.662,24.454,24.454,22.793,0.330914,0.176777,2.302,0.6386,0.112442
GLW,2,4,4,13.996,42.242,42.242,28.246,0.234008,0.236411,2.802,0.7969,0.097764
GM,1,12,12,1.117,22.617,22.617,21.5,0.331166,0.306553,11.194,0.9261,0.233559
GOOG,1,5,5,0.988,33.99,33.99,33.002,0.036079,0.210484,6.358,0.9309,0.142849
GPN,1,8,8,0.988,25.99,25.99,25.002,0.676789,0.236886,6.436,0.8735,0.154512
GS,2,64,64,0.994,19.173,19.173,18.179,0.584261,0.055243,0.918,0.0134,0.027018
GWW,2,3,3,18.823,20.736,20.736,1.914,3.424687,-0.959893,-2.666,0.8766,-0.432953
HAL,2,6,6,9.24,19.242,19.242,10.001,0.351846,0.223238,2.861,0.6717,0.116364
HAS,1,4,4,1.073,17.741,17.741,16.668,0.197504,0.396877,7.066,0.9615,0.351804
HBAN,2,2,2,3.395,3.463,3.463,0.069,-10.990666,9.451124,,,
HCA,1,12,11,1.284,69.24,24.904,23.619,0.260324,0.28107,17.842,0.9725,0.19854
HD,1,28,28,0.654,30.075,30.075,29.421,0.11059,0.180726,14.846,0.8945,0.139677
HII,2,3,3,1.284,3.702,3.702,2.417,0.515625,0.088957,0.744,0.3563,0.128972
HLT,2,2,2,0.616,3.409,3.409,2.793,0.996991,-0.064414,,,
HON,1,6,6,0.531,23.784,23.784,23.253,0.305321,0.06954,2.777,0.6584,0.061665
HPQ,1,5,5,1.407,15.075,15.075,13.667,0.378827,0.252751,4.996,0.8927,0.227457
HRL,2,3,3,1.791,24.794,24.794,23.003,0.264446,0.1462,5.939,0.9724,0.098564
HUBB,2,2,2,1.492,4.569,4.569,3.077,0.516477,0.035292,,,
HUM,1,8,8,0.57,26.571,26.571,26.001,0.527128,0.237564,3.051,0.6081,0.21061
IBM,1,21,20,0.737,70.286,26.47,25.733,0.214374,0.292553,13.09,0.9049,0.234918
ICE,1,13,13,1.073,35.825,35.825,34.752,0.256548,0.165564,10.909,0.9154,0.114488
IFF,1,6,6,1.155,24.318,24.318,23.162,0.362045,0.19306,5.884,0.8964,0.142805
INTC,1,27,27,0.726,36.479,36.479,35.754,0.318437,0.274945,14.544,0.8943,0.192157
INVH,2,4,4,2.245,7.414,7.414,5.169,0.170989,0.414101,5.797,0.9438,0.415917
IP,2,6,6,9.073,21.99,21.99,12.917,0.227993,0.276761,2.968,0.6877,0.142376
IR,1,5,5,2.007,21.53,21.53,19.524,0.187813,0.175466,6.542,0.9345,0.131569
IRM,2,5,5,1.073,3.904,3.904,2.831,0.954083,0.340603,6.235,0.9284,0.460372
IT,2,2,2,1.867,4.118,4.118,2.251,0.709111,0.639435,,,
ITW,2,2,2,15.075,16.036,16.036,0.961,-1.453722,0.771844,,,
JCI,2,2,2,5.076,6.286,6.286,1.21,0.282011,0.145451,,,
JNJ,1,21,21,0.537,34.037,34.037,33.5,-0.014106,0.130243,8.806,0.8032,0.107173
JPM,1,8,8,1.117,18.784,18.784,17.667,0.23281,0.154965,4.656,0.7832,0.132993
KDP,1,8,8,1.766,25.656,25.656,23.891,0.433468,0.200564,15.153,0.9745,0.131106
KEY,2,4,4,1.24,6.439,6.439,5.199,0.37767,0.316789,3.809,0.8789,0.364674
KHC,1,6,6,2.45,19.784,19.784,17.333,-0.040239,0.422958,4.346,0.8252,0.28746
KIM,2,6,6,5.284,21.038,21.038,15.754,0.39177,0.118108,2.33,0.5758,0.069482
