ticker,tier,s1_pp,b_pp,n_bonds,longest_yrs,in_universe,widen_1,widen_2,widen_3,widen_4,widen_5,widen_6,widen_7,widen_8,widen_9,widen_10,widen_11,widen_12,widen_13,widen_14,widen_15,widen_16,widen_17,widen_18,widen_19,widen_20,widen_21,widen_22,widen_23,widen_24,widen_25,widen_26,widen_27,widen_28,widen_29,widen_30
ALB,2,-0.024241337308338773,0.2087912270385138,3,25.7878,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ALGN,4,0.8479363176395412,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ALL,2,0.39323005533182276,0.2087912270385138,5,20.3231,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
ALLE,2,0.5427337609721016,0.2087912270385138,3,5.8672,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
AMAT,1,0.3232187606530985,0.1227687593313383,6,23.7837,1,0.0,0.08509681939135962,0.13487526766594593,0.17019363878271923,0.19758869573035356,0.21997208705730553,0.2388969747697804,0.2552904581740788,0.26975053533189186,0.28268551512171325,0.29438662764793694,0.30506890644866513,0.3148956503632662,0.32399379416114,0.3324639633962995,0.34038727756543846,0.34783008717077374,0.3548473547232514,0.36148512039909614,0.3677823345130728,0.3737722424357263,0.3794834470392966,0.38494073478020907,0.3901657258400248,0.39517739146070713,0.3999924697546258,0.40462580299783774,0.4090906135524996,0.4133987313490285,0.4175607827876591
AMCR,2,0.40032671879201476,0.2087912270385138,2,4.7639,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
AMD,2,0.4217187491797704,0.2087912270385138,2,25.7851,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
AME,4,0.2130522232846816,0.2087912270385138,0,0.0,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
AMGN,1,0.35428872997993327,0.1861714007228499,32,36.5476,1,0.0,0.12904418151193917,0.2045301886326779,0.25808836302387833,0.2996313105343159,0.33357437014461705,0.3622728181304373,0.38713254453581747,0.4090603772653558,0.42867549204625516,0.44641952172357297,0.46261855165655624,0.4775202146617881,0.49131699964237646,0.5041614991669938,0.5161767260477567,0.5274632968096155,0.5381045587772949,0.5481703290943745,0.5577196735581943,0.5668030067631152,0.5754637032355121,0.5837393501379238,0.5916627331684955,0.5992626210686318,0.6065643961737274,0.6135905658980337,0.6203611811543156,0.6268941813167933,0.633205680678933
AMP,2,-1.3947816913102165,0.2087912270385138,2,6.7515,1,0.0,0.14472305034739724,0.22938060779060457,0.2894461006947945,0.3360365165794199,0.3741036581380018,0.40628896772795614,0.4341691510421917,0.45876121558120914,0.48075956692681726,0.5006594963174236,0.518826708485399,0.5355389236360418,0.5510120180753534,0.5654171243700244,0.578892201389589,0.5915500905673884,0.6034842659286064,0.61477302740019,0.6254826172742144,0.6356695755185607,0.6453825466648209,0.6546636847160099,0.6635497588327963,0.6720730331588398,0.6802619739834391,0.6881418233718136,0.6957350684227507,0.7030618281445467,0.7101401747174217
AMT,1,0.48088827245670246,0.15323086652205611,13,23.822,1,0.0,0.10621154310452051,0.1683413129643937,0.21242308620904102,0.24661556593572626,0.2745528560689142,0.298173498313809,0.3186346293135615,0.3366826259287874,0.35282710904024683,0.3674315704800365,0.38076439917343474,0.39302941262902236,0.4043850414183295,0.41495687890011995,0.42484617241808204,0.4341357357515863,0.44289416903330786,0.45117893619899196,0.45903865214476725,0.4665148112782027,0.47364311358455696,0.48045449568171855,0.48697594227795526,0.4932311318714525,0.4992409557335429,0.5050239388931811,0.5105965845228501,0.5159736578649335,0.5211684220046405
AMZN,1,0.13964329848285184,0.2688559206185861,22,35.6632,1,0.0,0.1863567233536214,0.2953684182727565,0.3727134467072428,0.4327069116259254,0.4817251416263779,0.5231694645653163,0.5590701700608642,0.590736836545513,0.6190636349795469,0.6446883411151616,0.6680818649799993,0.6896018208403724,0.7095261879189377,0.728075329898682,0.7454268934144856,0.7617261819250969,0.7770935598991343,0.7916298524490432,0.8054203583331682,0.8185378828380728,0.831045064468783,0.8429961840178833,0.8544385883336207,0.8654138232518508,0.8759585441939938,0.8861052548182695,0.8958829112725591,0.9053174203661395,0.9144320532523034
