Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Economic CI (real),81.3293139692404,71.6113445381748,83.1138645372178,102.428329085073,110.745800715507,134.671481688328,141.737988681252,150.372151949446,176.389581461744,263.33994893858,311.824844693223,342.83390971958,468.957130457369,805.065315162357,876.991455721347,592.995439767917,461.670324035084,430.513477717433
ROE unadjusted,,0.160728250594795,0.173853836112462,0.209245748534642,0.232837031490996,0.28372473324613,0.319329601245823,0.358299309152605,0.448628989097466,0.70816560499563,0.801512631666439,0.847531774736525,0.853990692334184,0.910006369033163,0.770489900431103,0.495537179710641,0.395500914298844,0.401067140102624
ROE ADJUSTED (premium),,0.157425113943318,0.167586354148539,0.182429842381193,0.171642294837804,0.177747783725528,0.161565434996716,0.149381733342231,0.151523321409324,0.194000616165297,0.195999616367009,0.196864412153702,0.240757501829932,0.333773010549726,0.293402302560586,0.172189765179218,0.124226540590614,0.109676902840052
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0556386586139256,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947293841353839,0.897365621866913,0.850068927037185,0.805265059308592,0.762822631340463,0.722617180714151,0.68453080494699,0.64845181574327,0.614274411468314,0.581898366885188,0.551228739244196,0.522175589863268,0.494653720382782,0.468582422921374,0.443885243400078,0.420489757340743,0.398327357481257
RI without = CI − r·CSE(prior),,47.3501718742451,57.7962091245761,74.5479183695796,84.1546164354568,108.335107499878,115.255981412713,127.462486575712,152.598041370451,243.380059922509,290.4049168556,320.961903292474,445.816502708971,767.099549315838,816.512296880534,526.815889169688,394.687431193135,367.601765401734
RI with = (CI+Δres) − r·adjbase(prior),,48.2034821390298,72.9636477283112,165.542605839822,180.395754418793,220.070517060172,272.866266158916,228.680601235772,354.039399951507,385.395799583338,471.408629571231,276.339653822561,465.145868126063,849.384971371422,1211.2324856575,718.864704561648,556.331793675576,527.936788311043
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,2647.77946999153,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,2647.77946999153,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
