ticker,tier,spread_30y_pp,a_pp_1y,b_pp,n_fit,longest_fit_yrs,extrapolation_factor
LMT,1,0.8288,0.0453,0.230367,16,37.25,0.81
LNT,1,1.0444,0.4257,0.181923,4,11.03,2.72
LOW,1,1.0632,0.263,0.23528,27,36.09,0.83
LRCX,1,0.8254,0.3657,0.135147,4,23.82,1.26
LVS,3,1.4355,0.7253,0.208791,1,2.98,10.05
LYB,2,1.4547,0.5491,0.266252,6,34.12,0.88
MA,1,0.6846,0.1862,0.146512,12,24.58,1.22
MAA,2,0.8599,0.3054,0.163038,3,25.08,1.2
MAR,2,1.1926,0.3403,0.250605,8,8.12,3.7
MAS,1,0.9756,0.5178,0.134584,7,24.51,1.22
MCD,1,0.9471,0.2499,0.204981,22,26.07,1.15
MCK,2,0.7293,0.2793,0.132312,2,2.8,10.72
MCO,1,1.0141,0.234,0.229354,8,35.28,0.85
MDLZ,1,0.85,0.3064,0.159814,5,24.06,1.25
MDT,2,0.7693,0.3088,0.135401,2,18.58,1.61
MET,1,0.9685,0.2954,0.197913,17,27.42,1.09
META,1,1.5751,0.1508,0.418781,4,36.0,0.83
MKC,2,0.8618,0.5234,0.099506,2,4.51,6.66
MLM,1,0.967,0.6803,0.084312,6,24.9,1.2
MMC,1,0.9201,0.2777,0.188887,12,26.59,1.13
MMM,1,0.9338,0.2811,0.191913,9,23.03,1.3
MO,1,1.4189,0.2626,0.339987,13,34.46,0.87
MOS,2,1.4795,0.7347,0.218983,5,17.24,1.74
MRK,1,0.8941,0.1249,0.226164,14,35.32,0.85
MRVL,2,1.03,0.6579,0.109393,4,4.65,6.45
MS,1,1.0759,0.5118,0.165846,5,20.44,1.47
MSCI,2,2.6346,-0.1626,0.822426,3,4.51,6.66
MSFT,2,0.814,-0.3883,0.353502,21,35.59,0.84
MSI,1,1.1632,0.3543,0.237831,7,18.05,1.66
MTB,3,1.0054,0.2953,0.208791,1,1.46,20.6
MU,2,0.879,0.6486,0.067735,4,25.2,1.19
NDAQ,3,0.9576,0.2475,0.208791,1,25.57,1.17
NEE,1,0.9386,0.4769,0.135745,32,26.64,1.13
NEM,2,1.0539,0.2476,0.23707,5,15.57,1.93
NFLX,2,1.0292,0.1271,0.265206,5,3.84,7.82
NI,1,1.1234,0.4296,0.203988,11,25.82,1.16
NKE,1,0.8359,0.4151,0.123735,7,23.62,1.27
NOC,1,0.9169,0.383,0.156992,10,26.59,1.13
NSC,1,0.886,0.2415,0.189494,17,28.75,1.04
NTRS,2,0.7073,0.2839,0.124486,4,6.22,4.82
NUE,2,0.7604,0.3824,0.111129,5,29.34,1.02
NVDA,1,1.009,0.0363,0.285996,5,23.62,1.27
NXPI,1,1.1106,0.5445,0.166456,8,25.3,1.19
O,1,0.864,0.3755,0.143608,9,20.57,1.46
OKE,1,1.4132,0.2537,0.340898,11,21.91,1.37
