Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Year-end price (contemp.),66.07,85.42,96.37,51.6,78.64,96.15,62.5,50.83,62.55,74.14,101.31,141.47,166.67,117.01,108.57,75.67,63.71,0
Market cap = price×shares,129682.196,168755.752,187227.636,96966.72,144131.392,174185.34,110550,88571.275,105834.6,123005.674,163960.104,225163.652,268238.698,188479.708,170433.186,115752.399,94774.996,0
Book/market = repCSE/mktcap,0.067031560754878,0.057797733614437,0.0525723670409426,0.107057349160619,0.0774015975645333,0.0621407059859343,0.114943464495703,0.138397014156113,0.117230092994163,0.0797686779879764,0.0551353639053559,0.0357739800738354,0.0475956679449734,0.0810750407147278,0.0821670962602319,0.124662643061074,0.13941440841633,
Premium fraction = 1−book/mkt,0.932968439245122,0.942202266385563,0.947427632959057,0.892942650839381,0.922598402435467,0.937859294014066,0.885056535504297,0.861602985843887,0.882769907005838,0.920231322012024,0.944864636094644,0.964226019926165,0.952404332055027,0.918924959285272,0.917832903739768,0.875337356938926,0.86058559158367,0
Buyback $ (nominal),649.2,741.2,1859,1814,1674,2628,2534,3238,3223,4254,4286,3067,608,4014,5480,4250,2985,146
Annual premium reserve (real),946.122771953234,1073.28670372477,2624.00653421602,2364.31071647658,2221.75733271824,3489.0161304311,3171.04468715468,3895.51038470554,3889.85410425588,5224.44200425917,5308.45705378761,3829.25358130459,716.156544851962,4223.82292108476,5531.88459798722,3974.37954325825,2674.01386346887,0
Cumulative premium reserve,946.122771953234,2019.40947567801,4643.41600989402,7007.7267263706,9229.48405908885,12718.50018952,15889.5448766746,19785.0552613802,23674.9093656361,28899.3513698952,34207.8084236828,38037.0620049874,38753.2185498394,42977.0414709241,48508.9260689114,52483.3056121696,55157.3194756385,55157.3194756385
Economic CSE (real),14407.4295209495,15950.8629642458,15583.7090901946,16203.6758775207,17219.2900246031,16578.0165208214,19599.3007540629,18907.738218191,18939.7623789363,15164.5268894386,14285.192648422,13328.1353974891,18957.0927773358,21270.7738792498,16049.1217173858,16598.221276542,14885.5761318026,15419.5815211067
Adjusted base = CSE+reserve,15353.5522929028,17970.2724399238,20227.1251000886,23211.4026038913,26448.7740836919,29296.5167103413,35488.8456307375,38692.7934795711,42614.6717445724,44063.8782593338,48493.0010721049,51365.1974024765,57710.3113271752,64247.815350174,64558.0477862971,69081.5268887116,70042.8956074411,70576.9009967452
Economic CI (real),3605.63888383906,3319.56898320131,3394.52229594383,3636.79723558193,4082.57960183606,4308.7620564786,6591.3879788315,5800.90185436894,5569.21703224363,2614.36214014808,5595.35254200444,3903.2923245762,6750.8701359151,7125.50692104401,5366.78512405508,5552.64550923851,2616.56063514064,2822.39406595415
ROE unadjusted,,0.218692733448046,0.215288940029605,0.228820158643162,0.244297864755123,0.254976653283747,0.364393408651531,0.301290465805421,0.294297744600147,0.153315738063036,0.379993604680074,0.282710748815674,0.418201791813832,0.354257260613521,0.287609868047911,0.340159106379424,0.166216330336768,0.18626493208051
ROE ADJUSTED (premium),,0.199230971223497,0.177735789061965,0.167445695230077,0.164420663563883,0.154587481564982,0.203483865510529,0.156397241256504,0.136991530037021,0.0603231627670344,0.120906248836846,0.0781767022478335,0.123783426995466,0.116851695170674,0.0833313793855629,0.083098820431623,0.037614684585131,0.0401422009434215
VP6 INVARIANCE — adjustment nets to zero in equity residual-income value,,,,,,,,,,,,,,,,,,
flat real COE r (ρE_LR),0.0551446658759795,,,,,,,,,,,,,,,,,
DF_t = 1/(1+r)^(t−t0),1,0.947737340992765,0.898206067512036,0.851263430087425,0.806774139715436,0.764609977955633,0.724649427404208,0.686777321479993,0.650884512513582,0.616867557182994,0.584628418389313,0.554074182713093,0.525116792637246,0.497672792764673,0.471663089299234,0.447012722096889,0.423650648630043,0.401509539242497
RI without = CI − r·CSE(prior),,2525.07609613683,2514.91728734696,2777.43880469468,3189.03330960752,3359.21006145028,5677.19879690433,4720.10496288331,4526.55612573101,1569.93527199119,4759.10977351904,3115.54014900497,6015.89456267075,6080.12437385789,4193.81540556034,4667.62205453035,1701.25726871016,2001.53394379444
RI with = (CI+Δres) − r·adjbase(prior),,3546.18917572458,5027.56416075993,4885.68989678248,5024.35189344988,6339.26937723525,8146.88604066436,7739.39170444324,7325.36996826029,5488.83230963826,8473.92175198124,5058.41556443605,4634.51003235376,8166.91400639295,7355.74541129533,5966.99307771589,1481.09678012902,-1040.0980093043
V_without = CSE₀ + ΣPV(RI_wo) − DF_N·CSE_N,47926.7768591504,,,,,,,,,,,,,,,,,
V_with = adjbase₀ + ΣPV(RI_w) − DF_N·adjbase_N,47926.7768591504,,,,,,,,,,,,,,,,,
★ VP6 tie = V_with − V_without,0,,invariant ✓,,,,,,,,,,,,,,,
